"Region","Location","Rep","Block","Hybrid","GY"
"NE","E4",2,9,"G4",8.73
"NE","E4",2,10,"G1",13.5
"NE","E4",2,10,"G3",10.67
"NE","E4",2,12,"G2",10.77
"TB","E12",1,3,"G9",8.17
"TB","E12",1,6,"G20",2.34
"TB","E12",1,5,"G34",6.4
"TB","E12",1,4,"G18",6.94
"TB","E12",1,6,"G30",3.91
"TB","E12",1,5,"G27",6.52
"TB","E12",1,5,"G29",7.73
"TB","E12",1,4,"G26",7.65
"TB","E12",1,3,"G15",6.06
"TB","E12",1,2,"G19",5.5
"TB","E12",1,1,"G5",6.17
"TB","E12",1,4,"G16",6.8
"TB","E12",1,1,"G6",7.76
"TB","E12",1,3,"G17",7.64
"TB","E12",1,2,"G23",6.86
"TB","E12",1,6,"G31",1.55
"TB","E12",1,3,"G12",6.31
"TB","E12",1,5,"G28",2.96
"TB","E12",1,2,"G13",7.43
"TB","E12",1,5,"G24",6.91
"TB","E12",1,5,"G25",5.81
"TB","E12",1,4,"G11",6.38
"TB","E12",1,1,"G21",7.15
"TB","E12",1,4,"G35",7.27
"TB","E12",1,2,"G7",6.82
"TB","E12",1,1,"G8",7.84
"TB","E12",1,1,"G22",7.99
"TB","E12",1,6,"G33",2.32
"TB","E12",1,6,"G32",3.87
"TB","E12",1,3,"G10",7.24
"TB","E12",1,1,"G36",5.09
"TB","E12",1,2,"G14",7.04
"TB","E12",1,2,"G1",7.37
"TB","E12",1,3,"G2",6.9
"TB","E12",1,4,"G4",7.12
"TB","E12",1,6,"G3",4.1
"TB","E12",2,9,"G9",9.14
"TB","E12",2,11,"G20",6.24
"TB","E12",2,8,"G34",6.52
"TB","E12",2,10,"G18",7.87
"TB","E12",2,9,"G30",8.12
"TB","E12",2,11,"G27",8.14
"TB","E12",2,7,"G29",7.64
"TB","E12",2,11,"G26",8.68
"TB","E12",2,8,"G15",5.6
"TB","E12",2,11,"G19",6.28
"TB","E12",2,12,"G5",6.12
"TB","E12",2,7,"G16",7.05
"TB","E12",2,9,"G6",7.49
"TB","E12",2,11,"G17",6.98
"TB","E12",2,7,"G23",6.11
"TB","E12",2,7,"G31",6.69
"TB","E12",2,10,"G12",7.04
"TB","E12",2,12,"G28",5.73
"TB","E12",2,12,"G13",5.78
"TB","E12",2,9,"G24",7.98
"TB","E12",2,10,"G25",7.69
"TB","E12",2,8,"G11",4.72
"TB","E12",2,8,"G21",6.4
"TB","E12",2,12,"G35",7.27
"TB","E12",2,8,"G7",7.42
"TB","E12",2,10,"G8",7.76
"TB","E12",2,11,"G22",7.94
"TB","E12",2,12,"G33",4.18
"TB","E12",2,8,"G32",6.03
"TB","E12",2,7,"G10",4.88
"TB","E12",2,7,"G36",6.32
"TB","E12",2,9,"G14",7.82
"TB","E12",2,9,"G4",6.74
"TB","E12",2,10,"G1",7.38
"TB","E12",2,10,"G3",7.19
"TB","E12",2,12,"G2",6.46
"TA","E7",1,3,"G9",13.73
"TA","E7",1,6,"G20",12.19
"TA","E7",1,5,"G34",11.64
"TA","E7",1,4,"G18",12.85
"TA","E7",1,6,"G30",13.41
"TA","E7",1,5,"G27",12.1
"TA","E7",1,5,"G29",12.08
"TA","E7",1,4,"G26",11.21
"TA","E7",1,3,"G15",11.06
"TA","E7",1,2,"G19",11.82
"TA","E7",1,1,"G5",11.38
"TA","E7",1,4,"G16",11.9
"TA","E7",1,1,"G6",10.13
"TA","E7",1,3,"G17",11.46
"TA","E7",1,2,"G23",13.67
"TA","E7",1,6,"G31",10.69
"TA","E7",1,3,"G12",14.84
"TA","E7",1,5,"G28",12.84
"TA","E7",1,2,"G13",13.37
"TA","E7",1,5,"G24",12.43
"TA","E7",1,5,"G25",12.73
"TA","E7",1,4,"G11",11.61
"TA","E7",1,1,"G21",13.14
"TA","E7",1,4,"G35",12.44
"TA","E7",1,2,"G7",12.48
"TA","E7",1,1,"G8",13.06
"TA","E7",1,1,"G22",12.53
"TA","E7",1,6,"G33",10.9
"TA","E7",1,6,"G32",11.78
"TA","E7",1,3,"G10",12.61
"TA","E7",1,1,"G36",12.16
"TA","E7",1,2,"G14",12.6
"TA","E7",1,2,"G1",10.84
"TA","E7",1,3,"G2",13.65
"TA","E7",1,4,"G4",11.37
"TA","E7",1,6,"G3",11.7
"TA","E7",2,9,"G9",13.65
"TA","E7",2,11,"G20",10.6
"TA","E7",2,8,"G34",13.65
"TA","E7",2,10,"G18",12.04
"TA","E7",2,9,"G30",14.19
"TA","E7",2,11,"G27",13.14
"TA","E7",2,7,"G29",13.02
"TA","E7",2,11,"G26",13.04
"TA","E7",2,8,"G15",14.19
"TA","E7",2,11,"G19",11.04
"TA","E7",2,12,"G5",12.62
"TA","E7",2,7,"G16",11.66
"TA","E7",2,9,"G6",13.19
"TA","E7",2,11,"G17",11.9
"TA","E7",2,7,"G23",13.86
"TA","E7",2,7,"G31",11.44
"TA","E7",2,10,"G12",13.27
"TA","E7",2,12,"G28",11.73
"TA","E7",2,12,"G13",12.71
"TA","E7",2,9,"G24",12.8
"TA","E7",2,10,"G25",13.5
"TA","E7",2,8,"G11",12.52
"TA","E7",2,8,"G21",14.15
"TA","E7",2,12,"G35",13.09
"TA","E7",2,8,"G7",13.85
"TA","E7",2,10,"G8",14.57
"TA","E7",2,11,"G22",11.71
"TA","E7",2,12,"G33",11.49
"TA","E7",2,8,"G32",14.33
"TA","E7",2,7,"G10",10.46
"TA","E7",2,7,"G36",11.57
"TA","E7",2,9,"G14",11.73
"TA","E7",2,9,"G4",11
"TA","E7",2,10,"G1",10.54
"TA","E7",2,10,"G3",11.83
"TA","E7",2,12,"G2",12.28
"TA","E8",1,3,"G9",15.5
"TA","E8",1,6,"G20",12.02
"TA","E8",1,5,"G34",13.65
"TA","E8",1,4,"G18",12.04
"TA","E8",1,6,"G30",14.59
"TA","E8",1,5,"G27",13.92
"TA","E8",1,5,"G29",13.84
"TA","E8",1,4,"G26",14.03
"TA","E8",1,3,"G15",12.5
"TA","E8",1,2,"G19",11.99
"TA","E8",1,1,"G5",12.68
"TA","E8",1,4,"G16",12.48
"TA","E8",1,1,"G6",10.68
"TA","E8",1,3,"G17",13.56
"TA","E8",1,2,"G23",14.71
"TA","E8",1,6,"G31",11.43
"TA","E8",1,3,"G12",13.86
"TA","E8",1,5,"G28",13.21
"TA","E8",1,2,"G13",14.21
"TA","E8",1,5,"G24",12.65
"TA","E8",1,5,"G25",14.51
"TA","E8",1,4,"G11",11.79
"TA","E8",1,1,"G21",14.97
"TA","E8",1,4,"G35",12.17
"TA","E8",1,2,"G7",13.45
"TA","E8",1,1,"G8",11.6
"TA","E8",1,1,"G22",14.98
"TA","E8",1,6,"G33",13.3
"TA","E8",1,6,"G32",13.27
"TA","E8",1,3,"G10",10.5
"TA","E8",1,1,"G36",12.2
"TA","E8",1,2,"G14",12.49
"TA","E8",1,2,"G1",14.33
"TA","E8",1,3,"G2",14.18
"TA","E8",1,4,"G4",11.07
"TA","E8",1,6,"G3",14.06
"TA","E8",2,9,"G9",16.97
"TA","E8",2,11,"G20",11.62
"TA","E8",2,8,"G34",12.68
"TA","E8",2,10,"G18",12.19
"TA","E8",2,9,"G30",15.31
"TA","E8",2,11,"G27",15.14
"TA","E8",2,7,"G29",16.5
"TA","E8",2,11,"G26",12.68
"TA","E8",2,8,"G15",11.09
"TA","E8",2,11,"G19",12.36
"TA","E8",2,12,"G5",14.19
"TA","E8",2,7,"G16",12.82
"TA","E8",2,9,"G6",12.17
"TA","E8",2,11,"G17",12.68
"TA","E8",2,7,"G23",13.93
"TA","E8",2,7,"G31",13.17
"TA","E8",2,10,"G12",11.97
"TA","E8",2,12,"G28",15.18
"TA","E8",2,12,"G13",10.91
"TA","E8",2,9,"G24",14.13
"TA","E8",2,10,"G25",11.45
"TA","E8",2,8,"G11",12.86
"TA","E8",2,8,"G21",14.81
"TA","E8",2,12,"G35",14.53
"TA","E8",2,8,"G7",12.89
"TA","E8",2,10,"G8",14.37
"TA","E8",2,11,"G22",14.33
"TA","E8",2,12,"G33",13.14
"TA","E8",2,8,"G32",12.97
"TA","E8",2,7,"G10",10.84
"TA","E8",2,7,"G36",11.84
"TA","E8",2,9,"G14",13.27
"TA","E8",2,9,"G4",12.27
"TA","E8",2,10,"G1",16.7
"TA","E8",2,10,"G3",12.71
"TA","E8",2,12,"G2",13.22
"TB","E13",1,3,"G9",8.28
"TB","E13",1,6,"G20",7.7
"TB","E13",1,5,"G34",7.44
"TB","E13",1,4,"G18",6.55
"TB","E13",1,6,"G30",6.89
"TB","E13",1,5,"G27",8.31
"TB","E13",1,5,"G29",8.38
"TB","E13",1,4,"G26",7.91
"TB","E13",1,3,"G15",7.14
"TB","E13",1,2,"G19",5.74
"TB","E13",1,1,"G5",3.73
"TB","E13",1,4,"G16",7.8
"TB","E13",1,1,"G6",5.07
"TB","E13",1,3,"G17",8.33
"TB","E13",1,2,"G23",6.84
"TB","E13",1,6,"G31",6.32
"TB","E13",1,3,"G12",7.42
"TB","E13",1,5,"G28",4.71
"TB","E13",1,2,"G13",6.52
"TB","E13",1,5,"G24",7.17
"TB","E13",1,5,"G25",7.04
"TB","E13",1,4,"G11",7.86
"TB","E13",1,1,"G21",6.07
"TB","E13",1,4,"G35",7.61
"TB","E13",1,2,"G7",4.39
"TB","E13",1,1,"G8",6.92
"TB","E13",1,1,"G22",6.12
"TB","E13",1,6,"G33",5.01
"TB","E13",1,6,"G32",8.46
"TB","E13",1,3,"G10",7.55
"TB","E13",1,1,"G36",6.7
"TB","E13",1,2,"G14",5.95
"TB","E13",1,2,"G1",6.65
"TB","E13",1,3,"G2",6.53
"TB","E13",1,4,"G4",7.08
"TB","E13",1,6,"G3",8.31
"TB","E13",2,9,"G9",8.06
"TB","E13",2,11,"G20",6.79
"TB","E13",2,8,"G34",7.84
"TB","E13",2,10,"G18",7.41
"TB","E13",2,9,"G30",7.63
"TB","E13",2,11,"G27",7.21
"TB","E13",2,7,"G29",8.97
"TB","E13",2,11,"G26",7.01
"TB","E13",2,8,"G15",7.29
"TB","E13",2,11,"G19",5.73
"TB","E13",2,12,"G5",6.84
"TB","E13",2,7,"G16",7.21
"TB","E13",2,9,"G6",7.42
"TB","E13",2,11,"G17",5.1
"TB","E13",2,7,"G23",8.24
"TB","E13",2,7,"G31",5.94
"TB","E13",2,10,"G12",6
"TB","E13",2,12,"G28",7.75
"TB","E13",2,12,"G13",6.66
"TB","E13",2,9,"G24",7.7
"TB","E13",2,10,"G25",6.25
"TB","E13",2,8,"G11",8.55
"TB","E13",2,8,"G21",7.25
"TB","E13",2,12,"G35",7.91
"TB","E13",2,8,"G7",5.71
"TB","E13",2,10,"G8",5.97
"TB","E13",2,11,"G22",5.74
"TB","E13",2,12,"G33",5.28
"TB","E13",2,8,"G32",7.27
"TB","E13",2,7,"G10",6.75
"TB","E13",2,7,"G36",6.63
"TB","E13",2,9,"G14",7.23
"TB","E13",2,9,"G4",6.65
"TB","E13",2,10,"G1",6.4
"TB","E13",2,10,"G3",6.41
"TB","E13",2,12,"G2",6.73
"MN","E2",1,3,"G9",9.33
"MN","E2",1,6,"G20",9.65
"MN","E2",1,5,"G34",9.26
"MN","E2",1,4,"G18",10.86
"MN","E2",1,6,"G30",8.9
"MN","E2",1,5,"G27",10.27
"MN","E2",1,5,"G29",8.17
"MN","E2",1,4,"G26",8.97
"MN","E2",1,3,"G15",7.87
"MN","E2",1,2,"G19",11.18
"MN","E2",1,1,"G5",8.3
"MN","E2",1,4,"G16",9.09
"MN","E2",1,1,"G6",9.04
"MN","E2",1,3,"G17",7.77
"MN","E2",1,2,"G23",8.67
"MN","E2",1,6,"G31",10.4
"MN","E2",1,3,"G12",9.91
"MN","E2",1,5,"G28",10.83
"MN","E2",1,2,"G13",9.03
"MN","E2",1,5,"G24",9.54
"MN","E2",1,5,"G25",10.8
"MN","E2",1,4,"G11",9.15
"MN","E2",1,1,"G21",8.42
"MN","E2",1,4,"G35",9.48
"MN","E2",1,2,"G7",9.88
"MN","E2",1,1,"G8",9.5
"MN","E2",1,1,"G22",9.15
"MN","E2",1,6,"G33",9.33
"MN","E2",1,6,"G32",8.67
"MN","E2",1,3,"G10",8.76
"MN","E2",1,1,"G36",11.1
"MN","E2",1,2,"G14",8.53
"MN","E2",1,2,"G1",12.28
"MN","E2",1,3,"G2",6.67
"MN","E2",1,4,"G4",8.93
"MN","E2",1,6,"G3",8.13
"MN","E2",2,9,"G9",10.01
"MN","E2",2,11,"G20",8.43
"MN","E2",2,8,"G34",8.52
"MN","E2",2,10,"G18",11.98
"MN","E2",2,9,"G30",8.73
"MN","E2",2,11,"G27",10.29
"MN","E2",2,7,"G29",8.51
"MN","E2",2,11,"G26",8.67
"MN","E2",2,8,"G15",7.82
"MN","E2",2,11,"G19",8.76
"MN","E2",2,12,"G5",8.47
"MN","E2",2,7,"G16",10.11
"MN","E2",2,9,"G6",8.62
"MN","E2",2,11,"G17",8.45
"MN","E2",2,7,"G23",8.7
"MN","E2",2,7,"G31",7.65
"MN","E2",2,10,"G12",9.22
"MN","E2",2,12,"G28",8.38
"MN","E2",2,12,"G13",9.57
"MN","E2",2,9,"G24",8.28
"MN","E2",2,10,"G25",12.02
"MN","E2",2,8,"G11",7.48
"MN","E2",2,8,"G21",9.36
"MN","E2",2,12,"G35",9.95
"MN","E2",2,8,"G7",9.55
"MN","E2",2,10,"G8",8.93
"MN","E2",2,11,"G22",8.16
"MN","E2",2,12,"G33",9.65
"MN","E2",2,8,"G32",8.08
"MN","E2",2,7,"G10",9.37
"MN","E2",2,7,"G36",8.67
"MN","E2",2,9,"G14",7.55
"MN","E2",2,9,"G4",9.5
"MN","E2",2,10,"G1",9.46
"MN","E2",2,10,"G3",8.18
"MN","E2",2,12,"G2",6.66
"TA","E9",1,3,"G9",9.9
"TA","E9",1,6,"G20",9.6
"TA","E9",1,5,"G34",9.46
"TA","E9",1,4,"G18",10.25
"TA","E9",1,6,"G30",9.21
"TA","E9",1,5,"G27",10.87
"TA","E9",1,5,"G29",9.52
"TA","E9",1,4,"G26",10.27
"TA","E9",1,3,"G15",7.75
"TA","E9",1,2,"G19",8.45
"TA","E9",1,1,"G5",6.4
"TA","E9",1,4,"G16",8.39
"TA","E9",1,1,"G6",10.11
"TA","E9",1,3,"G17",12.44
"TA","E9",1,2,"G23",10.67
"TA","E9",1,6,"G31",8.54
"TA","E9",1,3,"G12",9.85
"TA","E9",1,5,"G28",10.9
"TA","E9",1,2,"G13",10.67
"TA","E9",1,5,"G24",6.72
"TA","E9",1,5,"G25",10.32
"TA","E9",1,4,"G11",10.49
"TA","E9",1,1,"G21",11.43
"TA","E9",1,4,"G35",9.56
"TA","E9",1,2,"G7",8.98
"TA","E9",1,1,"G8",9.67
"TA","E9",1,1,"G22",9.15
"TA","E9",1,6,"G33",9.42
"TA","E9",1,6,"G32",9.14
"TA","E9",1,3,"G10",8.42
"TA","E9",1,1,"G36",10.03
"TA","E9",1,2,"G14",9.61
"TA","E9",1,2,"G1",11.21
"TA","E9",1,3,"G2",13.29
"TA","E9",1,4,"G4",8.58
"TA","E9",1,6,"G3",10.93
"TA","E9",2,9,"G9",10.28
"TA","E9",2,11,"G20",8.75
"TA","E9",2,8,"G34",9.59
"TA","E9",2,10,"G18",11.74
"TA","E9",2,9,"G30",8.86
"TA","E9",2,11,"G27",8.36
"TA","E9",2,7,"G29",9.69
"TA","E9",2,11,"G26",8.46
"TA","E9",2,8,"G15",9.52
"TA","E9",2,11,"G19",7.57
"TA","E9",2,12,"G5",3.28
"TA","E9",2,7,"G16",7.76
"TA","E9",2,9,"G6",9.33
"TA","E9",2,11,"G17",7.35
"TA","E9",2,7,"G23",12.26
"TA","E9",2,7,"G31",9.07
"TA","E9",2,10,"G12",9.92
"TA","E9",2,12,"G28",8.74
"TA","E9",2,12,"G13",9.74
"TA","E9",2,9,"G24",7.89
"TA","E9",2,10,"G25",12.5
"TA","E9",2,8,"G11",10.1
"TA","E9",2,8,"G21",9.47
"TA","E9",2,12,"G35",6.74
"TA","E9",2,8,"G7",9.02
"TA","E9",2,10,"G8",6.65
"TA","E9",2,11,"G22",11.43
"TA","E9",2,12,"G33",7.91
"TA","E9",2,8,"G32",9.98
"TA","E9",2,7,"G10",11.38
"TA","E9",2,7,"G36",9.47
"TA","E9",2,9,"G14",8.19
"TA","E9",2,9,"G4",7.4
"TA","E9",2,10,"G1",8.18
"TA","E9",2,10,"G3",10.25
"TA","E9",2,12,"G2",8.04
"NE","E5",1,3,"G9",9.24
"NE","E5",1,6,"G20",5.17
"NE","E5",1,5,"G34",3.99
"NE","E5",1,4,"G18",5.46
"NE","E5",1,6,"G30",4.83
"NE","E5",1,5,"G27",3.33
"NE","E5",1,5,"G29",5.32
"NE","E5",1,4,"G26",4.71
"NE","E5",1,3,"G15",6.01
"NE","E5",1,2,"G19",5.16
"NE","E5",1,1,"G5",3.05
"NE","E5",1,4,"G16",4.55
"NE","E5",1,1,"G6",3.77
"NE","E5",1,3,"G17",7.03
"NE","E5",1,2,"G23",2.7
"NE","E5",1,6,"G31",2.61
"NE","E5",1,3,"G12",6.73
"NE","E5",1,5,"G28",3.35
"NE","E5",1,2,"G13",5.66
"NE","E5",1,5,"G24",2.6
"NE","E5",1,5,"G25",4.16
"NE","E5",1,4,"G11",4.26
"NE","E5",1,1,"G21",3.07
"NE","E5",1,4,"G35",4.75
"NE","E5",1,2,"G7",4.04
"NE","E5",1,1,"G8",2.76
"NE","E5",1,1,"G22",2.31
"NE","E5",1,6,"G33",5.43
"NE","E5",1,6,"G32",4.26
"NE","E5",1,3,"G10",5.53
"NE","E5",1,1,"G36",3.25
"NE","E5",1,2,"G14",5.43
"NE","E5",1,2,"G1",4.99
"NE","E5",1,3,"G2",4.06
"NE","E5",1,4,"G4",4.26
"NE","E5",1,6,"G3",5.04
"NE","E5",2,9,"G9",3.7
"NE","E5",2,11,"G20",5.37
"NE","E5",2,8,"G34",5.25
"NE","E5",2,10,"G18",4.56
"NE","E5",2,9,"G30",4.87
"NE","E5",2,11,"G27",3.58
"NE","E5",2,7,"G29",3.2
"NE","E5",2,11,"G26",4.55
"NE","E5",2,8,"G15",5.84
"NE","E5",2,11,"G19",5.14
"NE","E5",2,12,"G5",5.02
"NE","E5",2,7,"G16",4.45
"NE","E5",2,9,"G6",4.16
"NE","E5",2,11,"G17",4.13
"NE","E5",2,7,"G23",3.61
"NE","E5",2,7,"G31",3.18
"NE","E5",2,10,"G12",3.92
"NE","E5",2,12,"G28",3.43
"NE","E5",2,12,"G13",5.11
"NE","E5",2,9,"G24",3.67
"NE","E5",2,10,"G25",5.5
"NE","E5",2,8,"G11",4.76
"NE","E5",2,8,"G21",3.23
"NE","E5",2,12,"G35",5.73
"NE","E5",2,8,"G7",5.56
"NE","E5",2,10,"G8",4.77
"NE","E5",2,11,"G22",3.46
"NE","E5",2,12,"G33",3.62
"NE","E5",2,8,"G32",3.42
"NE","E5",2,7,"G10",4.13
"NE","E5",2,7,"G36",5.49
"NE","E5",2,9,"G14",3.2
"NE","E5",2,9,"G4",3.62
"NE","E5",2,10,"G1",4.4
"NE","E5",2,10,"G3",3.19
"NE","E5",2,12,"G2",5.3
"MN","E3",1,3,"G9",13.82
"MN","E3",1,6,"G20",10.28
"MN","E3",1,5,"G34",11.94
"MN","E3",1,4,"G18",9.21
"MN","E3",1,6,"G30",12.76
"MN","E3",1,5,"G27",10.52
"MN","E3",1,5,"G29",11.13
"MN","E3",1,4,"G26",9.18
"MN","E3",1,3,"G15",10.15
"MN","E3",1,2,"G19",11.1
"MN","E3",1,1,"G5",8.98
"MN","E3",1,4,"G16",11.76
"MN","E3",1,1,"G6",9.97
"MN","E3",1,3,"G17",11.43
"MN","E3",1,2,"G23",9.87
"MN","E3",1,6,"G31",10.6
"MN","E3",1,3,"G12",13.63
"MN","E3",1,5,"G28",8.88
"MN","E3",1,2,"G13",13.37
"MN","E3",1,5,"G24",10.88
"MN","E3",1,5,"G25",8.42
"MN","E3",1,4,"G11",9.74
"MN","E3",1,1,"G21",9.3
"MN","E3",1,4,"G35",11.28
"MN","E3",1,2,"G7",14.98
"MN","E3",1,1,"G8",8.63
"MN","E3",1,1,"G22",8.34
"MN","E3",1,6,"G33",9.73
"MN","E3",1,6,"G32",9.03
"MN","E3",1,3,"G10",11.15
"MN","E3",1,1,"G36",9.18
"MN","E3",1,2,"G14",9.38
"MN","E3",1,2,"G1",11.8
"MN","E3",1,3,"G2",13.5
"MN","E3",1,4,"G4",12.26
"MN","E3",1,6,"G3",12.18
"MN","E3",2,9,"G9",12.15
"MN","E3",2,11,"G20",11.02
"MN","E3",2,8,"G34",10.38
"MN","E3",2,10,"G18",12.35
"MN","E3",2,9,"G30",11.41
"MN","E3",2,11,"G27",14.37
"MN","E3",2,7,"G29",9.9
"MN","E3",2,11,"G26",9.81
"MN","E3",2,8,"G15",12.33
"MN","E3",2,11,"G19",9.99
"MN","E3",2,12,"G5",8.64
"MN","E3",2,7,"G16",13.89
"MN","E3",2,9,"G6",9
"MN","E3",2,11,"G17",10.4
"MN","E3",2,7,"G23",10
"MN","E3",2,7,"G31",10.15
"MN","E3",2,10,"G12",12.35
"MN","E3",2,12,"G28",9.85
"MN","E3",2,12,"G13",12.99
"MN","E3",2,9,"G24",11.12
"MN","E3",2,10,"G25",9.73
"MN","E3",2,8,"G11",9.98
"MN","E3",2,8,"G21",9.12
"MN","E3",2,12,"G35",10.68
"MN","E3",2,8,"G7",14.15
"MN","E3",2,10,"G8",8.69
"MN","E3",2,11,"G22",9.14
"MN","E3",2,12,"G33",8.92
"MN","E3",2,8,"G32",9.79
"MN","E3",2,7,"G10",14.13
"MN","E3",2,7,"G36",9.09
"MN","E3",2,9,"G14",12.83
"MN","E3",2,9,"G4",12.21
"MN","E3",2,10,"G1",12.03
"MN","E3",2,10,"G3",11.73
"MN","E3",2,12,"G2",12.38
